,0
1805,0.0
1806,4.96
1807,4.74
1808,4.33
1809,-0.32
1810,1.7
1811,3.19
1812,4.55
1813,2.52
1814,1.83
1815,2.86
1816,1.33
1817,-1.09
1818,5.23
1819,3.47
1820,3.07
1821,3.69
1822,3.73
1823,1.05
1824,1.94
1825,4.27
1826,4.65
1827,3.56
1828,4.64
1829,4.51
1830,4.6
1831,0.34
1832,4.07
1833,4.14
1834,3.92
1835,-2.93
1836,2.04
1837,-3.95
1838,5.35
1839,1.31
1840,4.01
1841,2.1
1842,4.09
1843,4.53
1844,-1.75
1845,-6.34
1846,3.09
1847,3.18
1848,3.06
1849,3.81
1850,2.55
1851,4.77
1852,0.64
1853,-0.39
1854,2.36
1855,-4.02
1856,0.17
1857,-5.11
1858,2.55
1859,1.25
1860,3.19
1861,0.12
1862,2.22
1863,0.56
1864,2.27
1865,-4.49
1866,-0.45
1867,3.86
1868,0.67
1869,5.11
1870,2.68
1871,0.78
1872,4.77
1873,3.66
1874,2.33
1875,3.2
1876,1.92
1877,2.19
1878,2.44
1879,1.93
1880,4.71
1881,3.31
1882,0.42
1883,-0.38
1884,0.97
1885,3.05
1886,3.04
1887,4.06
1888,0.83
1889,4.81
1890,3.65
1891,10.9
1892,3.84
1893,5.68
1894,0.56
1895,-1.23
1896,2.83
1897,-0.97
1898,0.99
1899,4.88
1900,-0.09
1901,4.87
1902,-5.91
1903,6.13
1904,1.73
1905,-3.76
1906,3.42
1907,-1.76
1908,0.01
1909,4.8
1910,3.95
1911,2.03
1912,-0.42
1913,3.02
1914,3.42
1915,-3.73
1916,-0.07
1917,1.56
1918,2.02
1919,2.8
1920,4.59
1921,0.81
1922,1.43
1923,2.16
1924,4.82
1925,2.93
1926,-2.5
1927,4.04
1928,2.23
1929,5.63
1930,4.63
1931,0.81
1932,2.49
1933,3.78
1934,1.7
1935,4.94
1936,2.31
1937,3.05
1938,1.65
1939,4.18
1940,3.83
1941,1.07
1942,2.0
1943,-1.4
1944,0.01
1945,1.96
1946,-4.96
1947,3.54
1948,2.49
1949,-2.0
1950,2.91
1951,3.32
1952,2.61
1953,1.96
1954,4.44
1955,2.45
1956,-0.25
1957,3.38
1958,1.64
1959,5.13
1960,2.03
1961,4.88
1962,1.68
1963,1.19
1964,1.17
1965,1.22
1966,0.1
1967,-0.51
1968,1.5
1969,0.74
1970,0.92
1971,-1.14
1972,1.83
1973,3.56
1974,2.31
1975,5.51
1976,4.93
1977,-2.34
1978,1.95
1979,1.2
1980,3.46
1981,5.41
1982,2.99
1983,-0.06
1984,3.17
1985,4.61
1986,-3.97
1987,4.46
1988,2.69
1989,3.09
